state,year,fent_gms,hydro_gms,oxy_gms
NE,2011,5471.16186353,328415.15271224803,9240328.76034205
NE,2012,5204.711402906,289106.52685868,497111.23388525896
NE,2013,10668.09784232,317261.62894314,663490.490904592
NE,2014,5054.817091998,313346.731972828,373566.167920157
NE,2015,5227.0424084,341837.781180206,392278.7577099095
NE,2016,4275.858007625,287459.806068344,323141.5934575552
NH,2006,2291.851597792,59213.264324873,256730.912903967
NH,2007,2971.709058297,76089.131854468,368252.792576842
NH,2008,3338.261363048,81451.27098341301,426929.45535219
NH,2009,3495.840184825,88102.840512729,493858.098971257
NH,2010,3593.691492094,82982.667792778,504137.963922268
NH,2011,3417.412436751,84996.846625146,498083.832759075
NH,2012,3360.198879516,85721.91282248001,503316.620936109
NH,2013,3284.48163808,79472.189166439,499186.171920604
NH,2014,3169.404255874,77452.495505795,491815.345535906
NH,2015,2970.407528154,70243.721878057,494186.587476907
NH,2016,2481.635796897,54538.761667381004,382775.650422849
NJ,2006,2698208.677670467,17671343.591490094,19532270.265457176
NJ,2007,2173036.030128404,3302382.693272515,28134151.44185047
NJ,2008,1144330.043017932,3657960.778125324,31858330.708417907
NJ,2009,792688.499723784,5903719.442591338,27932214.497094013
NJ,2010,596190.077301586,8034880.593934917,37765991.42445598
NJ,2011,690583.395853843,11623685.284352249,36364094.4671101
NJ,2012,618925.900704401,13044722.827910056,44466886.30996756
NJ,2013,565182.288561114,9619136.239917042,67463158.70051311
NJ,2014,718789.7219848679,7600329.021346624,52901191.77792016
NJ,2015,746294.5172322349,14280011.149282131,74434730.34815106
NJ,2016,524790.939845415,21541306.09695752,53915676.0908488
NM,2006,2613.684856949,159165.094067423,289363.98681579
NM,2007,2484.118596604,167599.82662896402,311067.82334087
NM,2008,2622.318841427,188002.918140293,357215.91645749897
NM,2009,2736.645308557,207267.63870773,416671.117041243
NM,2010,2775.2719447,219954.145646936,490323.78362231
NM,2011,2808.9756929,230922.636433299,529067.410127033
NM,2012,2767.384511165,222013.165738061,521200.18825386296
NM,2013,2541.48789696,206727.124991717,452671.784434745
