state,year,hydro_gms,oxy_gms,fent_gms
WA,2004,437064.92,806524.2725,6221.6325
WA,2005,478201.97,873759.52,6850.2
WA,2006,949048.163808597,2248034.321053332,17609.044051784
WA,2007,1018897.819635984,2540129.602633298,19041.704029303
WA,2008,964816.347831858,2374888.220959936,16768.778313887
WA,2009,1103814.797459296,2845522.1235368447,19686.605045367
WA,2010,1136403.328917306,2824713.562814532,21675.632450192
WA,2011,1128604.316884393,2682407.940374222,20157.575124419
WA,2012,1199386.437428198,2676890.674025856,19320.671540333
WA,2013,1164714.365693867,2931356.999564877,18781.759093929
WA,2014,1361666.808353904,2962389.450038598,18451.556112925
WA,2015,1391720.829849232,3053400.495867044,18188.177518482
WA,2016,1212932.761799286,2758180.39131042,15848.713725803
NC,2000,430534.06,546530.87,4853.24
NC,2001,443029.31,688058.23,4853.24
NC,2002,516938.3375,771803.3075,6781.49
NC,2003,590847.365,855548.385,8709.74
NC,2004,664756.3925000001,939293.4625,10637.99
NC,2005,738665.42,1023038.54,12566.24
NC,2006,3214497.685137333,27602417.06027384,354724.980416357
NC,2007,3409568.803681363,22549458.797224514,396860.990407445
NC,2008,4142481.072306237,62734022.71946531,257508174.49792087
NC,2009,5241477.977808818,79313532.19436827,389945.134497879
NC,2010,4472558.432594286,88634946.6589634,2059478209.6850808
NC,2011,5718270.381422515,75790672.19301277,2283374.344891869
NC,2012,10613289.40239609,72039932.60459585,372913.882504143
NC,2013,7379738.864628292,2098506210.121183,437997.800293327
NC,2014,8319874.71344118,937881906.6279572,316634.76069824
NC,2015,4172684.369813466,64500154692.43987,313633.811202213
NC,2016,5987829.37869502,10004317210.7279,249434.939686452
RI,2000,49132.4,70460.74,536.63
RI,2001,41320.55,85947.13,536.63
RI,2002,49750.287500000006,101351.0475,725.56
RI,2003,58180.025,116754.965,914.49
RI,2004,66609.7625,132158.8825,1103.42
RI,2005,75039.5,147562.8,1292.35
RI,2006,273166.50004905,7497030.44332383,2928.074765533
RI,2007,308964.11775482603,7996067.724555387,1603.69734858
RI,2008,462390.722979088,7711851.316302613,1490.187871445
RI,2009,518836.641083022,9240217.05852236,1429.378481194
RI,2010,531977.321451181,13808475.814937787,1525.641840393
RI,2011,737007.787581705,11853637.745417394,1427.160280931
RI,2012,467517.29396399,9056675.312996157,1363.832970577
RI,2013,868066.3205089149,2818432.999588788,1270.232159963
RI,2014,991997.835689352,5123940.164167056,1192.235707116
RI,2015,278844.303038236,5020578.621400909,1128.870750614
RI,2016,709065.0730410359,7857782.726760594,1045.342626991
AL,2000,474273.32,299048.18,2793.51
AL,2001,503467.27,345607.86,2793.51
AL,2002,577136.54,368805.2025,3737.6925
AL,2003,650805.81,392002.545,4681.875
AL,2004,724475.08,415199.88749999995,5626.0575
AL,2005,798144.35,438397.23,6570.24
AL,2006,65062586.00173391,1538784.797981454,15680.581497624
AL,2007,23566872.61106369,2489940.588735335,15557.296348736
AL,2008,19712996.136232022,3571363.566110875,17289.111181357
AL,2009,22651390.762257792,13885873.514337096,16308.967296843
AL,2010,24522315.89150521,13359000.135659931,18027.397868642
AL,2011,37899458.55846181,30074574.19351261,18360.032193602
AL,2012,43790096.13029095,41430522.51853143,18618.959375755
AL,2013,42796570.90847762,42537397.37219112,19609.422863418
AL,2014,60709515.71844169,35630579.023513675,20160.52117646
AL,2015,40449275.4596336,30977560.646554325,20994.798713532
AL,2016,39523563.96144727,27580210.514791023,27327.33696288
OR,2000,205065.65,226545.65,2583.02
OR,2001,235187.08,341133.1,2583.02
OR,2002,263188.675,366876.08749999997,3155.1349999999998
OR,2003,291190.27,392619.07499999995,3727.25
OR,2004,319191.865,418362.0625,4299.365
OR,2005,347193.46,444105.05,4871.48
OR,2006,614714.471556927,1088946.730330383,10957.958010917
OR,2007,657207.551312512,1270900.629330717,11213.714679709
OR,2008,672818.89488164,1353180.0817523429,12529.662609877
OR,2009,737149.485516548,1406503.317639001,12478.557862872
OR,2010,782780.799229341,1481384.080840177,12852.631365859
OR,2011,857054.933425537,1554114.262522277,13326.70218242
OR,2012,769063.917554472,1483279.557522845,12098.04447154
OR,2013,754566.438222473,1468875.519634875,11543.700591809
OR,2014,853394.023770994,1437764.53287841,10637.511157246
OR,2015,753715.161777831,1422169.883316607,9653.697456043
OR,2016,797933.37088169,1392180.723966917,8715.366457751
VA,2000,280189.78,462871.57,3926.31
VA,2001,284801.55,555282.69,3926.31
VA,2002,331312.96749999997,587133.945,4960.285
VA,2003,377824.385,618985.2,5994.26
VA,2004,424335.8025,650836.455,7028.235
VA,2005,470847.22,682687.71,8062.21
VA,2006,717743.045843874,1555547.763497677,45814.903487394
VA,2007,832211.367835246,1445276.299010619,38253.539317451
VA,2008,750042.618648941,1401717.7673977478,138221.41163537398
VA,2009,789767.315526996,1665738.996591992,46011.414506865
VA,2010,911426.66849857,2062053.857867105,27823.427417041
VA,2011,1019477.3649530192,1902949.866463594,23552.558198468
VA,2012,1003128.89058812,2855576.224969889,22641.721942659
VA,2013,995628.01880215,3911373.909594799,26335.157149109
VA,2014,1152663.6205578651,4965938.728855174,27122.321026635
VA,2015,1303006.54403274,4450981.428504539,27396.959764801
VA,2016,1315234.408414999,3613947.947285589,23812.070680673
NJ,2000,204926.08,536240.51,5960.89
NJ,2001,209657.14,661922.07,5960.89
NJ,2002,226836.475,810951.6275,7725.4575
NJ,2003,244015.81,959981.185,9490.025
NJ,2004,261195.145,1109010.7425000002,11254.592499999999
NJ,2005,278374.48,1258040.3,13019.16
NJ,2006,17671343.591490094,19532270.265457176,2698208.677670467
NJ,2007,3302382.693272515,28134151.44185047,2173036.030128404
NJ,2008,3657960.778125324,31858330.708417907,1144330.043017932
NJ,2009,5903719.442591338,27932214.497094013,792688.499723784
NJ,2010,8034880.593934917,37765991.42445598,596190.077301586
NJ,2011,11623685.284352249,36364094.4671101,690583.395853843
NJ,2012,13044722.827910056,44466886.30996756,618925.900704401
NJ,2013,9619136.239917042,67463158.70051311,565182.288561114
NJ,2014,7600329.021346624,52901191.77792016,718789.7219848679
NJ,2015,14280011.149282131,74434730.34815106,746294.5172322349
NJ,2016,21541306.09695752,53915676.0908488,524790.939845415
MT,2000,498980.74,53283.02,582.97
MT,2001,46973.83,73674.48,582.97
MT,2002,56495.802500000005,86870.075,773.51
MT,2003,66017.775,100065.67,964.0500000000001
MT,2004,75539.7475,113261.265,1154.5900000000001
MT,2005,85061.72,126456.86,1345.13
MT,2006,97134.515202447,146651.207531713,1586.720806544
MT,2007,94860.211931208,163998.52216733,1766.494138517
MT,2008,102128.881548161,181050.746919101,1885.833499995
MT,2009,109707.526083495,184601.40832349492,1924.2569768
MT,2010,126292.890307503,190382.434367007,1994.817832199
MT,2011,137231.224415971,193036.923962398,1969.585334791
MT,2012,140360.059751672,204661.159332059,2011.29305934
MT,2013,135006.100755875,203004.463106846,1880.23510526
MT,2014,129714.004775028,203723.750738603,1834.27190564
MT,2015,122554.75028603,203090.54873822292,1777.9997315
MT,2016,115181.700120373,184821.130942592,1633.1260565
GA,2000,475530.76,436641.13,4398.72
GA,2001,498149.07,558229.49,4398.72
GA,2002,564684.035,576235.4824999999,5871.92
GA,2003,631219.0,594241.475,7345.120000000001
GA,2004,697753.9650000001,612247.4675,8818.32
GA,2005,764288.93,630253.46,10291.52
GA,2006,720738358.6624304,28071323.61629701,157603.752415988
GA,2007,9969618.793713942,26010819.619877648,205842.030186398
GA,2008,14930185.99381392,20021170.673185017,290338.906827512
GA,2009,1181064064.2531695,22777987.897579264,239129.829229418
GA,2010,654829042.4658116,24294478.11000796,297805.95197229
GA,2011,9256618767.540384,21878161.359449737,179621.02425014
GA,2012,262776372.69893783,13924919.231866945,163933.128368785
GA,2013,30635941.424038507,9636554.44061743,221401.43742603096
GA,2014,41245987.24900082,50082743.34080689,685014.663435332
GA,2015,33304866.67594485,34368405.905344404,284405.199683972
GA,2016,22418379.00126305,20201412.00608424,276798.375364259
TN,2000,465669.14,307451.33,3571.44
TN,2001,515382.8,494813.4,3571.44
TN,2002,671217.255,627435.9775,5334.15
TN,2003,827051.71,760058.5549999999,7096.860000000001
TN,2004,982886.165,892681.1325,8859.57
TN,2005,1138720.62,1025303.71,10622.28
TN,2006,12360774.111701343,29770670.021902304,308341.779586741
TN,2007,13636943.004264249,33244951.81235113,731987.4889240611
TN,2008,15851817.696365949,36714715.477335386,257812.231292366
TN,2009,17253011.46862666,35501556.709772505,165021.324691048
TN,2010,17104546.9143721,40306140.982272014,211065.855230723
TN,2011,179944176.38914248,43882584.68488031,151491.593186872
TN,2012,178533890.32529458,40879343.94761448,474723519.2963326
TN,2013,12587839.467109784,22789926.19190204,130862.061230862
TN,2014,9225277.590080308,18095773.91154433,1971962.640715774
TN,2015,14143582.965867722,21188936.833934613,140455.361777624
TN,2016,4428443.889309257,10965762.649076251,196326.530713149
WI,2000,159270.11,281354.6,3678.34
WI,2001,187931.55,369107.16,3678.34
WI,2002,215416.2,427111.46749999997,4593.88
WI,2003,242900.85,485115.775,5509.42
WI,2004,270385.5,543120.0825,6424.96
WI,2005,297870.15,601124.39,7340.5
WI,2006,1032781.547283978,1103378.315513382,92790.501124461
WI,2007,998775.731819172,1215133.197567305,22431.185785234
WI,2008,1382569.986008149,1320702.991949115,42790.819115419
WI,2009,1515960.1087188069,1837230.728532347,147385.858471784
WI,2010,2635625.521485707,2164015.762520486,164316.673478835
WI,2011,1969715.7192210297,2285351.174244622,96104.351263404
WI,2012,2873614.886027499,2456618.730900328,72093.31713586401
WI,2013,1794335.147378564,2046537.435828669,255189.9713889
WI,2014,2137359.866863468,2003053.2310486909,1780344.532585166
WI,2015,2143027.24992926,2796405.136435965,191591.159074298
WI,2016,1623063.779380556,2132306.476974301,306280.100598621
LA,2000,379621.31,230639.23,2531.36
LA,2001,428524.01,298570.46,2531.36
LA,2002,520929.095,336134.19,3266.875
LA,2003,613334.1799999999,373697.92000000004,4002.3900000000003
LA,2004,705739.265,411261.65,4737.905000000001
LA,2005,798144.35,448825.38,5473.42
LA,2006,1550609.008414063,951888.646905242,13019.577105784
LA,2007,1475645.893289682,1070371.434444397,13329.988363368
LA,2008,1656525.039302804,1133382.374465036,15819.691171444
LA,2009,1617903.11826377,1317855.103410111,13600.469630234
LA,2010,1675400.5006267389,1401079.218230641,15074.060780605
LA,2011,1875644.56487381,1628278.231283147,13835.062973696
LA,2012,1918593.321850949,1575658.59655485,14559.181492644
LA,2013,1856126.743977242,1814047.474949352,13873.724048405
LA,2014,1827166.059222432,1620315.738897061,15107.656674911
LA,2015,1326589.3873154677,1760130.59546123,14125.494658021
LA,2016,1399469.010682064,1737628.72054745,12802.99580172
IN,2000,418103.73,299269.85,5301.39
IN,2001,438089.27,397660.6,5301.39
IN,2002,507664.85250000004,425294.9925,6537.672500000001
IN,2003,577240.435,452929.385,7773.955
IN,2004,646816.0175,480563.77749999997,9010.2375
IN,2005,716391.6,508198.17,10246.52
IN,2006,2501000.813598793,919531.204998262,13951.12049616
IN,2007,2751927.471764135,800111.1770375089,15911.337643336
IN,2008,2972221.470846526,824942.4184815229,25617.489593586
IN,2009,3387308.674727126,912700.114655034,30351.369166612
IN,2010,3485802.918895271,1334278.137876037,578724.406720525
IN,2011,4787391.179181559,1224417.734823904,43375.852879661
IN,2012,4424163.002436003,1300066.4231974198,63792.375610771
IN,2013,4163089.935588172,1187169.644673722,21627.081373022
IN,2014,2688031.648157357,1159613.382517516,17584.406475535
IN,2015,1240966.794271935,1416470.7748236605,18042.5904915
IN,2016,2406652.884754128,7399800.5225344,28693.435092781
UT,2000,125054.97,107260.81,1277.98
UT,2001,139704.25,163080.31,1277.98
UT,2002,168241.7475,214367.8475,1791.2350000000001
UT,2003,196779.245,265655.385,2304.49
UT,2004,225316.7425,316942.9225,2817.745
UT,2005,253854.24,368230.46,3331.0
UT,2006,524232.867087659,1049810.983089133,242161.21871156
UT,2007,543787.456666065,1259371.63196864,169833.080129767
UT,2008,593729.605638252,1408403.1222077669,357693.928395577
UT,2009,618209.177091721,1352698.47933308,408854.99377342
UT,2010,636275.405774374,1362667.636819442,582509859.833337
UT,2011,1795917.381139002,1378073.935126751,120924034.60573532
UT,2012,1669592.709298244,1614822.73157197,337190.506152537
UT,2013,892355.50167159,1768420.645948185,317268.866885522
UT,2014,1330027.215422515,1957104.106748861,431266.1973543
