,year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate,cluster_k3,cluster_k4,cluster_num,cluster_lab,risk_num
52,2001,AR,7538.410095813932,5729.514844676213,55.139916427989455,-1.0132650668444096,-0.6048171304629196,-0.9871647548532404,70680.3,5.0,5.15,0.1643560582277042,-0.7969077305821748,-0.2953143882876203,-0.9804848813290687,0.0840524383185548,-0.2457022375279185,1.5527289350885154,0,4.846,-1.6458523203787887,2,2,2,Low Risk,0
53,2002,AR,8659.196275435368,7037.9397707329135,72.94875286731681,-0.8926019791566853,-0.5218162575005543,-0.8502492728215156,73986.5,5.5,5.15,0.1818818467756151,-0.7535027221995405,-0.0084951317650376,-0.9804848813290687,0.4046467744791463,-0.0315543111384939,2.1514494916232816,0,6.8274,-0.9933745102308555,2,2,2,Low Risk,0
54,2003,AR,9751.902513784418,8318.692528229429,90.41894938961016,-0.7945190138074711,-0.450652789381258,-0.7448611143167719,78306.3,5.9,5.15,0.2075365822866571,-0.6996255176916252,0.2054984598445576,-0.9804848813290687,0.8654699040587855,0.1678109887813101,1.5527289350885154,0,7.0314,-0.9358588618174806,2,2,2,Low Risk,0
55,2004,AR,10806.007304106724,9560.968688788464,107.41444659499302,-0.7128642449341275,-0.3891898236590291,-0.6601310803349443,84557.0,5.7,5.15,0.2110400969419781,-0.626709416031518,0.1000988684074617,-0.9804848813290687,0.9276407287832086,0.436274287506511,0.7444561837665811,0,8.6534,-0.5246379933599938,2,2,2,Low Risk,0
56,2005,AR,11813.365013877616,10755.61801691922,123.81337292442514,-0.6437895056008845,-0.3358167696320714,-0.590135040928332,89643.1,5.2,5.15,0.2204766680198497,-0.5712513227939551,-0.1778177058670819,-0.9804848813290687,1.0942048181203765,0.6228020467429319,0.3552878220189834,0,10.0735,-0.2178292389169136,2,2,2,Low Risk,0
57,2006,AR,45278.90997750582,70937.40122997283,694.7573802610143,0.4629610356362551,0.4688071250302923,0.2636728829565941,94451.6,5.2,5.15,0.2237737356211245,-0.5216409621470641,-0.1778177058670819,-0.9804848813290687,1.1520976330430777,0.6673349188034593,1.5227929072617767,0,10.4539,-0.1423247208036196,2,2,2,Low Risk,0
58,2007,AR,53456.82285687783,70637.00681704297,939.847372412125,0.4604711882724394,0.5682389325677565,0.4136349810025605,96991.9,5.3,6.25,0.2175525248802064,-0.4964424259956509,-0.1204832385248308,-0.0822259753511339,1.0427291275221269,0.5988382190387829,0.3552878220189834,1,10.8886,-0.059053543600724,0,0,0,Moderate Risk,1
59,2008,AR,65373.72432735854,72636.55647008377,953.045357088091,0.4768491321173713,0.688759217792191,0.420557293099939,99014.4,5.5,6.25,0.2148990765176093,-0.4768476881133119,-0.0084951317650376,-0.0822259753511339,0.9959115592945524,0.5576070302771231,0.8043282394200579,1,13.0512,0.3145586423734914,0,0,0,Moderate Risk,1
60,2009,AR,65250.39364896382,88139.39802512841,754.3258317461803,0.5903521309414654,0.6876283516647042,0.3044944140297493,96983.7,7.8,6.25,0.2180290751000313,-0.4965226995045426,1.0770723817107175,-0.0822259753511339,1.0511265932972076,0.7901351002297662,1.882025241182636,1,12.5975,0.2411858128482719,0,0,0,Moderate Risk,1
61,2010,AR,68996.46966227442,77914.11185418475,662.7391901056545,0.5180013682077347,0.7210592996488753,0.2402618733937227,100970.8,8.2,6.25,0.2214866439148463,-0.4582705296799288,1.2363576165841514,-0.0822259753511339,1.1119554634170026,1.1843263550277314,0.8642002950735344,1,12.5146,0.2275149808796745,0,0,0,Moderate Risk,1
62,2011,AR,77487.05577246784,79738.69321322259,748.2831021555975,0.5315828302372475,0.7905617288786642,0.3005029426312095,105107.8,8.3,6.25,0.2254400107186566,-0.4201449253628235,1.275096672389036,-0.0822259753511339,1.181296253289594,1.311665483616216,1.82215318552916,1,12.6401,0.2481784876963033,0,0,0,Moderate Risk,1
63,2012,AR,77783.95930582246,95818.17680661412,745.8592090806072,0.6393631005139445,0.7928520157105381,0.2988928083543551,107718.8,7.6,6.25,0.2226353278476399,-0.3968474613701997,0.9946934028296645,-0.0822259753511339,1.13212611605432,1.415236655461752,2.2412575751034964,1,13.0962,0.3217065152142282,0,0,0,Moderate Risk,1
64,2013,AR,74982.09177601735,99866.29522986012,605.7085162101566,0.6636418033103885,0.77088182988949,0.1956176936735568,112764.6,7.2,6.25,0.2246705413259444,-0.3533828295225327,0.824026492654216,-0.0822259753511339,1.1678175556767585,1.424729923559286,1.3431767403013477,1,11.0713,-0.0249606249144129,0,0,0,Moderate Risk,1
65,2014,AR,89743.87525756245,113965.31853635784,672.8848699299716,0.7411262789410313,0.8785055648863036,0.2478002281587119,116151.8,6.0,6.25,0.2932467297883124,-0.3252831211594607,0.2570580222114647,-0.0822259753511339,2.336998015927725,1.3198439068205623,1.7323451020489449,1,12.55,0.2333629371422907,0,1,3,Acute High Risk (Fentanyl-Driven),3
66,2015,AR,124449.22477726596,109269.16446414177,659.5615782656594,0.7164367756369603,1.074300416263131,0.2378771598947192,117734.3,5.0,7.5,0.3072633483409266,-0.3124346280369209,-0.2953143882876203,0.7860925346167091,2.568327594316106,1.134750967240118,1.0438164620339645,0,13.8454,0.4374707721101679,0,0,0,Moderate Risk,1
67,2016,AR,115780.8637872876,104485.21758019408,579.0964916857971,0.6901697501373508,1.031062522553318,0.1733285947694496,119191.8,4.0,8.0,0.2943799796516159,-0.300752890447312,-0.9486322842909196,1.0981146892071756,2.3557940543887783,0.8028010524755317,1.0138804342072258,0,13.9917,0.4593934405584898,0,0,0,Moderate Risk,1
68,2000,CA,5514.74808665938,2463.176548126622,51.817614542994775,-1.5084377072957456,-0.7919891508262445,-1.0174783642634984,1366166.5,4.9,6.25,0.1814999462898306,2.015018862298241,-0.3555398019437017,-0.0822259753511339,0.397711581085187,-1.1644753630336455,0.0259915159248617,1,5.8355,-1.296284790625976,2,2,2,Low Risk,0
69,2001,CA,5976.769791450898,3598.001830539216,50.90416444481232,-1.2861836182152984,-0.7438150673016627,-1.026147583636842,1387551.8,5.4,6.25,0.1956979428156904,2.029766220469188,-0.0640517138008446,-0.0822259753511339,0.6540473082866496,-1.2867108626002066,-0.0039445119018764,1,3.6186,-2.1726807748307704,2,2,2,Low Risk,0
70,2002,CA,6670.237224054948,4320.807972495173,66.13439530569119,-1.1788011866931445,-0.6780833037129742,-0.8982899372189244,1439341.7,6.7,6.75,0.2143523071034702,2.0645593817108514,0.5985856354702078,0.2818356730694096,0.9862516286520544,-1.2720881180610937,0.145735627231815,1,8.6703,-0.5207277953723852,0,0,0,Moderate Risk,1
71,2003,CA,7350.579489911813,5029.107363116026,81.05113360195607,-1.089754062111835,-0.619926133238829,-0.7985837889078551,1530559.8,6.8,6.75,0.2240281785811024,2.1229019147996744,0.6448227642382622,0.2818356730694096,1.156558881572738,-1.2850954473621157,0.145735627231815,1,8.9283,-0.4618675640135043,0,0,0,Moderate Risk,1
72,2004,CA,8029.859013639405,5731.882953432812,95.80968020532416,-1.0130226518955932,-0.566999308388295,-0.7163901676518647,1632428.7,6.2,6.75,0.2234083408330713,2.184081134211335,0.3580035077156787,0.2818356730694096,1.145689399725624,-1.2004963815734055,0.2056076828852919,0,8.8191,-0.4865915996523585,0,0,0,Moderate Risk,1
73,2005,CA,8713.492482669184,6434.270870644178,110.51343360683587,-0.945210659308119,-0.518073222907534,-0.6461258783528148,1752648.9,5.4,6.75,0.2249344596757899,2.2515496611204333,-0.0640517138008446,0.2818356730694096,1.1724415338562022,-1.1265725930339194,0.1756716550585532,0,8.9735,-0.4517132861589895,0,0,0,Moderate Risk,1
74,2006,CA,1127939.962137207,30870.31036967446,3167.836851053277,-0.0251924749428316,2.3943781090550296,1.0170708073472994,1874851.3,4.9,6.75,0.2236665783668185,2.315544713132708,-0.3555398019437017,0.2818356730694096,1.1502185251569277,-1.1284913826056997,-0.1236886232088297,0,9.6031,-0.314868293302198,0,0,0,Moderate Risk,1
75,2007,CA,746597.8733407374,44138.0813648121,2733.0723654281837,0.1845756015448434,2.1472675318755594,0.9437383433441472,1955320.9,5.4,7.5,0.2235471855675941,2.355446027590005,-0.0640517138008446,0.7860925346167091,1.148124661130903,-1.1065591330082862,0.0259915159248617,0,10.4807,-0.1371002050790944,0,0,0,Moderate Risk,1
76,2008,CA,485721.3814865492,30249.90209232005,8018.98535577992,-0.0371039225263336,1.8898144169076816,1.478501788706159,1990187.9,7.3,8.0,0.2259033949993412,2.3722275990733688,0.8674613003584885,1.0981146892071756,1.189409214401208,-1.0144033121552494,0.5947760446328896,0,10.3705,-0.1586616652675445,1,3,0,Moderate Risk,1
77,2009,CA,268232.52938297106,59373.96830335859,4628.109704970117,0.3585581003021998,1.5342117675398452,1.2054055038059537,1919271.1,11.2,8.0,0.2358206216573588,2.3377775485112604,2.2476890532702227,1.0981146892071756,1.3623094054335985,-0.7569735042048431,0.8043282394200579,0,10.7369,-0.0877621928950361,1,0,3,Acute High Risk (Fentanyl-Driven),3
78,2010,CA,189487.84185429785,83914.37458129184,1711.0063404279213,0.5615305166021789,1.3260842181438517,0.7111145470700062,1973511.9,12.2,8.0,0.2428135027096556,2.364238396170041,2.5299867599668344,1.0981146892071756,1.4833935048443576,-0.4343412669857579,1.103688517687441,0,10.5598,-0.1217509073815584,0,0,0,Moderate Risk,1
79,2011,CA,201425.42246308207,88520.79191395066,1540.3591467780038,0.5928855200905044,1.3626722213730165,0.6589366922361505,2049336.8,11.7,8.0,0.2430526147400276,2.400034795620752,2.3916171456593864,1.0981146892071756,1.4875217543807115,-0.1944058917812894,1.2833046846478702,1,10.7344,-0.0882384101034415,0,0,0,Moderate Risk,1
80,2012,CA,198752.3166784729,89677.23144501851,1354.192971641668,0.6005009141383402,1.3546713465582032,0.5949720955947776,2144089.6,10.4,8.0,0.2511810913652078,2.442949559153971,2.004658460943744,1.0981146892071756,1.6273889290006984,-0.0417408064575021,0.9839444063804876,1,10.2923,-0.1740892211980541,0,0,0,Moderate Risk,1
81,2013,CA,130426.19461328031,75932.86148830512,1076.1221850836707,0.5028887441852905,1.1023934925016543,0.4808526795009388,2261510.6,8.9,8.0,0.2719986653698472,2.493573195519851,1.4991276032272407,1.0981146892071756,1.98149553381706,0.0523905404475557,0.6845841281131047,1,11.1379,-0.012660851656032,0,0,0,Moderate Risk,1
82,2014,CA,113602.00695927718,27394.432367697307,836.0148341892661,-0.0952784083654084,1.0196850197171978,0.3555249580382637,2399077.7,7.5,9.0,0.2001787860457032,2.54964051671776,0.9527826588450984,1.6732673727013578,0.7343144935739875,0.1410081742790336,0.9540083785537494,1,11.102,-0.0192825007365332,0,0,0,Moderate Risk,1
