year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate
2004,AK,6392.43969991779,14817.00885503408,142.89435844231485,-0.45584572205221807,-0.7035554258188934,-0.519442535954257,34987.9,7.5,7.15,0.1488807588815779,-1.464525777118858,0.9527826588450984,0.5565553521091032,-0.20307036719513497,-0.7000113705988723,-1.0217694580109788,0,12.7164,0.2606485134458425
2005,AK,6815.347869242788,14016.41212332033,157.68742896726272,-0.48843466382865813,-0.6651963045572807,-0.4708149086345499,39788.7,6.9,7.15,0.1491050249945273,-1.3424459233975896,0.6904708689626411,0.5565553521091032,-0.19888186674277117,-0.511234116395557,-0.7822812353970722,0,11.3744,0.0304774236016266
2006,AK,10948.726720799732,19597.795806991835,231.67797859816793,-0.2917803562380113,-0.3813326644032876,-0.2806321193938935,44457.1,6.6,7.15,0.1490918137366689,-1.237112894934902,0.5517440826876254,0.5565553521091032,-0.1991285838097941,-0.48197997412989524,-1.1115775414911933,0,11.0604,-0.026980110830923193
2007,AK,11901.87045898883,20733.50954848273,231.64419943275024,-0.2587288695986364,-0.3313470744367763,-0.2807042660698413,49002.6,6.3,7.15,0.1414331912391592,-1.1446854955689263,0.4074295018375773,0.5565553521091032,-0.3426310918972425,-0.5275058710183458,-1.5007459032387915,0,10.0941,-0.21367443159702584
2008,AK,12520.064370304965,22284.050067730688,248.2749666095963,-0.21641561442400636,-0.301024098129974,-0.24639339550641537,54759.0,6.7,7.15,0.1406928453498774,-1.039231744372012,0.5985856354702078,0.5565553521091032,-0.3565542356110538,-0.5208813978107554,-1.3211297362783618,0,18.1345,1.0048440324145627
2009,AK,12793.493495871056,24074.561229144434,235.59882385193774,-0.17107211203784875,-0.2880867838853488,-0.27232822372117355,49651.6,7.7,7.15,0.1458759899555727,-1.1321933638631538,1.0361196186867103,0.5565553521091032,-0.25926785722371476,-0.3156727815405142,-0.2733687623425213,0,17.8528,0.9716883019490862
2010,AK,12781.68057017956,24581.72335390753,260.85183482543005,-0.15884069265223288,-0.28863997463690416,-0.22193360734314627,52947.7,7.9,7.75,0.1585886176128643,-1.0711684800305012,1.1175623917462034,0.9443326449316897,-0.022505891405788906,0.01636053379463772,-0.06381656755535284,0,11.5962,0.0701916589384707
2011,AK,13401.238244947406,25890.462619618025,254.8443658453228,-0.1284071664613158,-0.26029464312410333,-0.2334670036874606,56333.9,7.6,7.75,0.1663749362993818,-1.0123103263348958,0.9946934028296643,0.9443326449316897,0.12122823593268556,0.2844250402847804,-0.2733687623425213,0,14.2364,0.4955872941180273
2012,AK,11552.812576687369,24388.95678707989,224.7360329007217,-0.16345972702746503,-0.34917221147359223,-0.29568354694301613,57717.5,7.1,7.75,0.1670287756881782,-0.9892729191328755,0.7800587292322029,0.9443326449316897,0.13325429836374553,0.41399525257492803,-0.7822812353970722,0,17.4251,0.9203892796950998
2013,AK,10733.95845651053,22910.124412068035,199.7706390076884,-0.20015926136158838,-0.393195845325374,-0.3539247719918123,56625.3,7.0,7.75,0.1486972708081208,-1.007411735228465,0.7355447684519735,0.9443326449316897,-0.20649788578696843,0.3910459456592321,-0.5128569849564274,0,14.3519,0.5124695674063174
2014,AK,10583.672252811743,22837.61171159648,187.56785578745053,-0.2020191929075021,-0.401639230410741,-0.3850845950279707,55750.6,6.9,7.75,0.1596777326109661,-1.0221925018951044,0.6904708689626411,0.9443326449316897,-0.0023430057889088788,0.2770489495198238,-0.21349670668904433,0,16.7585,0.838012484052187
2015,AK,9200.938413988559,23832.583502977934,186.93543674976166,-0.17699906905334947,-0.48547813870129963,-0.38675398472024997,50728.1,6.5,8.75,0.1763001391190213,-1.111828284184616,0.5042820939651985,1.5350599511503307,0.3030610160824799,0.08109816880595552,-1.0217694580109788,0,15.9606,0.7352442956482629
2016,AK,9990.708086996527,26046.680827852902,181.75935581767746,-0.12487769812720206,-0.43616550351447175,-0.40063221095850404,49755.6,6.9,9.75,0.2081296799810103,-1.1302067342945925,0.6904708689626411,2.0680587451608807,0.8760072577536558,0.1041362485685839,-0.003944511901876453,0,16.8331,0.8473836616942519
2000,AZ,4085.5426777831663,7555.403895660417,46.8599190119268,-0.8509803477447476,-0.9715981133540751,-1.0664584856574535,164609.9,4.0,5.15,0.0937864420823526,0.005775158489663964,-0.9486322842909195,-0.9804848813290687,-1.2576311273591307,-1.2466940779679219,-0.2733687623425213,0,10.5896,-0.11599546137871419
2001,AZ,4780.1408823817765,10116.465663925337,45.5906036946781,-0.6797316398770696,-0.8775859589788917,-1.0798155945054335,171480.5,4.8,5.15,0.1107722665709929,0.044599710878081435,-0.41679475956940853,-0.9804848813290687,-0.9269451304754822,-1.1342850240444435,0.5947760446328896,0,10.9008,-0.0567606779984743
2002,AZ,5356.909745740333,11794.104707801986,75.26214939805476,-0.5897141253346342,-0.8093766577892906,-0.8349417777539249,179475.6,6.1,5.15,0.1489840639480528,0.08786640872445349,0.3078862185667247,-0.9804848813290687,-0.20114089114484604,-0.8028134574733597,0.26547973853876833,0,12.005,0.1415902594968835
2003,AZ,5917.311270181063,13418.177819105962,103.77653817424766,-0.5140253028407666,-0.7498017159803616,-0.6770918769912867,192764.8,5.7,5.15,0.1757063598702372,0.15568793850299503,0.10009886840746175,-0.9804848813290687,0.2922260200929252,-0.4828139508769739,0.26547973853876833,1,12.7405,0.26457286468700225
2004,AZ,6423.077154428453,14902.348009802554,130.48594014157516,-0.45247632641317526,-0.7006924374985677,-0.5642550079207067,205390.5,5.0,5.15,0.1798956691701442,0.21592397535979302,-0.29531438828762036,-0.9804848813290687,0.3685539020433179,-0.28097450890491305,0.5349039889794132,1,13.6816,0.4126679414900848
2005,AZ,6851.273754396457,16189.055050995219,154.694312131866,-0.4038881475491491,-0.6620481668387924,-0.48027729419067633,228232.6,4.7,5.15,0.1877956053670811,0.3160469582285687,-0.4791150740519675,-0.9804848813290687,0.5117536880198046,-0.26863165050344257,0.7743922115933193,1,14.135,0.48066014140133106
2006,AZ,18784.63417286799,36518.75497127859,334.8302311875274,0.07339409596248644,-0.058070332048143804,-0.09828518887050265,248154.2,4.2,5.15,0.1762620910673676,0.39550283009973575,-0.8080916140178566,-0.9804848813290687,0.302366897694503,-0.36960718847904583,0.5349039889794132,1,14.9163,0.5931807137787504
2007,AZ,19774.19281903748,49321.82577949844,341.340736829742,0.24972733518566292,-0.027326320983031734,-0.08874383440157774,262245.3,3.9,6.75,0.1779017105456654,0.447941697926035,-1.021025206281863,0.28183567306940965,0.33225846650167046,-0.40027755043821545,0.504967961152675,1,15.7117,0.7021949973075102
2008,AZ,23484.2610690158,44964.30118760353,346.5607851674633,0.19545688449709184,0.07564800211640231,-0.08122385117056914,259262.6,6.2,6.9,0.1861056735264623,0.4370809001173261,0.35800350771567874,0.38648235805262643,0.4812010401380343,-0.14214220569041877,1.6126009907419918,1,13.5455,0.39184808374342633
2009,AZ,25686.69518551047,51448.96378313319,308.1672224315853,0.2745008718533267,0.12933105925410512,-0.13939257681849784,243764.6,9.9,7.25,0.2054906754589278,0.3785574519612391,1.8439441820786355,0.6231281474495632,0.8290812514277813,0.48805628114478766,2.5705538811976174,0,16.1338,0.7579571016019995
2010,AZ,25981.391892050066,57413.50173892107,322.5757216956244,0.33885803525389424,0.13616247576347615,-0.11675720234780237,248125.3,10.4,7.25,0.1900844865722349,0.3953922492982825,2.004658460943744,0.6231281474495632,0.5530656369222817,1.1671135941419886,1.7922171577024222,0,17.4977,0.9291804110965913
