state,year,sex,age_group,age_group_detail,race,death_rate,death_rate_log,us_crude_rate,us_age_adjusted_rate,deaths,population,hydro_gms,oxy_gms,fent_gms,state_name,state_abbr,poverty_rate,unempl_rate,gsp,min_wage,snap_rate,medicaid_rate,gov_dem
CA,2004,Both Sexes,All Ages,All Ages,All Races,8.8191,0.992071683006284,9.366,9.3831,3125,35574576,8029.859013639405,5731.8829534328115,95.80968020532416,California,CA,13.3,6.2,1632428.7,6.75,0.0522700818697038,0.2234083408330713,0
CA,2005,Both Sexes,All Ages,All Ages,All Races,8.9735,0.9988475920070718,10.0884,10.0699,3214,35827943,8713.492482669184,6434.270870644178,110.51343360683587,California,CA,13.2,5.4,1752648.9,6.75,0.0555997311930523,0.2249344596757899,0
CA,2006,Both Sexes,All Ages,All Ages,All Races,9.6031,1.0254328573464464,11.5373,11.4883,3494,36021202,1127939.962137207,30870.31036967446,3167.836851053277,California,CA,12.2,4.9,1874851.3,6.75,0.0555133057469875,0.2236665783668185,0
CA,2007,Both Sexes,All Ages,All Ages,All Races,10.4807,1.0599683686254764,11.9543,11.8775,3854,36250311,746597.8733407374,44138.0813648121,2733.0723654281833,California,CA,12.7,5.4,1955320.9,7.5,0.0565011704313378,0.2235471855675941,0
CA,2008,Both Sexes,All Ages,All Ages,All Races,10.3705,1.0557795625299975,11.9864,11.8947,3863,36604337,485721.38148654916,30249.90209232005,8018.98535577992,California,CA,14.6,7.3,1990187.9,8.0,0.0606520205515537,0.2259033949993412,0
CA,2009,Both Sexes,All Ages,All Ages,All Races,10.7369,1.0695534043498245,12.0624,11.9388,4056,36961229,268232.52938297106,59373.96830335859,4628.109704970117,California,CA,15.3,11.2,1919271.1,8.0,0.0722470835588286,0.2358206216573588,0
CA,2010,Both Sexes,All Ages,All Ages,All Races,10.5598,1.06295032027415,12.4144,12.2966,4057,37253956,189487.84185429785,83914.37458129184,1711.0063404279213,California,CA,16.3,12.2,1973511.9,8.0,0.0867789714878832,0.2428135027096556,0
CA,2011,Both Sexes,All Ages,All Ages,All Races,10.7344,1.0694608882805088,13.2674,13.1852,4180,37691912,201425.42246308207,88520.79191395066,1540.3591467780038,California,CA,16.9,11.7,2049336.8,8.0,0.09758605639899,0.2430526147400276,1
CA,2012,Both Sexes,All Ages,All Ages,All Races,10.2923,1.0527824074321863,13.2208,13.1422,4040,38041430,198752.31667847294,89677.23144501851,1354.192971641668,California,CA,15.9,10.4,2144089.6,8.0,0.1044623435602706,0.2511810913652078,1
CA,2013,Both Sexes,All Ages,All Ages,All Races,11.1379,1.0841435551657277,13.9127,13.8005,4452,38332521,130426.19461328031,75932.86148830512,1076.1221850836707,California,CA,14.9,8.9,2261510.6,8.0,0.10870217463117,0.2719986653698472,1
CA,2014,Both Sexes,All Ages,All Ages,All Races,11.102,1.0828571485964091,14.7574,14.6831,4521,38802500,113602.00695927718,27394.432367697307,836.0148341892661,California,CA,15.8,7.5,2399077.7,9.0,0.112693658974077,0.2001787860457032,1
CA,2015,Both Sexes,All Ages,All Ages,All Races,11.3219,1.0906776798977074,16.304,16.2923,4659,39144818,25568.894340871808,25568.91259111178,685.3633682053215,California,CA,13.9,6.2,2559643.2,9.0,0.1135147461800817,0.2473557703116896,1
CA,2016,Both Sexes,All Ages,All Ages,All Races,11.2218,1.0871351725594691,19.6925,19.7851,4654,39250017,20871.570631353225,21524.939576273035,679.0505785969009,California,CA,13.9,5.5,2671100.5,10.0,0.1108083089189332,0.3231481398030904,1
CO,2000,Both Sexes,All Ages,All Ages,All Races,7.8839,0.948603661347326,6.1882,6.1749,352,4301261,3763.4054292450523,4568.716243910798,71.51623675010654,Colorado,CO,9.8,2.8,180693.3,5.15,0.0360413328553953,0.0644728665025314,0
CO,2001,Both Sexes,All Ages,All Ages,All Races,8.9896,0.9995480987093968,6.8057,6.7922,411,4425687,4425.836034043979,6594.4414957497,69.50559314294028,Colorado,CO,8.7,3.8,187546.2,5.15,0.0347860117536554,0.0677874418141183,0
CO,2002,Both Sexes,All Ages,All Ages,All Races,9.7169,1.0300691783050522,8.1766,8.1957,448,4490406,5037.015361194512,7441.6154686235495,82.72765313426002,Colorado,CO,9.8,5.5,191062.2,5.15,0.0397491897169209,0.0734806607687589,0
CO,2003,Both Sexes,All Ages,All Ages,All Races,10.7497,1.0700267780964483,8.8881,8.8765,502,4528732,5663.6433774398665,8312.882170991792,96.13099207460279,Colorado,CO,9.7,6.0,196768.6,5.15,0.0459406739016572,0.0799146427741805,0
CO,2004,Both Sexes,All Ages,All Ages,All Races,10.9393,1.076978864896442,9.366,9.3831,518,4575013,6268.835083091567,9153.581913319153,109.11930742054722,Colorado,CO,10.0,5.5,204374.6,5.15,0.0528479372626919,0.086208935362588,0
CO,2005,Both Sexes,All Ages,All Ages,All Races,12.6913,1.1364446867038824,10.0884,10.0699,608,4631888,6846.210659670528,9954.622607455101,121.56878577374928,Colorado,CO,11.4,5.0,220307.4,5.15,0.0530941162653328,0.0885343082561581,0
CO,2006,Both Sexes,All Ages,All Ages,All Races,12.8239,1.1406305835256405,11.5373,11.4883,627,4720423,13281.190608256527,30864.79802394813,7507.631785621542,Colorado,CO,9.7,4.3,231256.3,5.15,0.0532547612788091,0.0855022950273736,0
CO,2007,Both Sexes,All Ages,All Ages,All Races,14.7299,1.1967259616832844,11.9543,11.8775,734,4803868,13501.949295514323,55857.84266167021,7171.577594409463,Colorado,CO,9.8,3.7,246151.0,6.85,0.0521879452141482,0.0843158055133904,1
CO,2008,Both Sexes,All Ages,All Ages,All Races,14.7725,1.1979005360780213,11.9864,11.8947,749,4889730,14478.623092134127,33509.99913299636,1642.0437739936765,Colorado,CO,11.0,4.8,255830.2,7.02,0.0517273959911896,0.0868434453436079,1
CO,2009,Both Sexes,All Ages,All Ages,All Races,14.9699,1.2033021966905078,12.0624,11.9388,769,4972195,15291.990178463999,34917.087968695596,736.889271743928,Colorado,CO,12.3,7.3,248669.1,7.28,0.064181111159156,0.0973578067634113,1
CO,2010,Both Sexes,All Ages,All Ages,All Races,12.6675,1.1356890825635948,12.4144,12.2966,654,5029196,15159.444155984356,40631.879011493606,3944.0013842636486,Colorado,CO,12.2,8.7,255660.7,7.24,0.0801765441620938,0.108117746563592,1
CO,2011,Both Sexes,All Ages,All Ages,All Races,16.1231,1.2335823929939946,13.2674,13.1852,843,5116796,21828.663957709065,42564.14448276738,10884.24354778285,Colorado,CO,13.2,8.4,264310.2,7.36,0.0884775325964615,0.1188086640625427,1
CO,2012,Both Sexes,All Ages,All Ages,All Races,15.0082,1.2043425015622995,13.2208,13.1422,807,5187582,27383.02670373743,43916.08246547289,16078.459919095447,Colorado,CO,11.9,7.9,273593.9,7.64,0.0946780450702695,0.1251563990388716,1
CO,2013,Both Sexes,All Ages,All Ages,All Races,15.5429,1.2186116444909412,13.9127,13.8005,846,5268367,15064.781023769187,43081.00048449888,27549.07638102315,Colorado,CO,10.6,6.9,288383.5,7.78,0.0963997993370702,0.1383744841322936,1
CO,2014,Both Sexes,All Ages,All Ages,All Races,16.2953,1.237928099580481,14.7574,14.6831,899,5355866,15188.703332119325,42118.091858840846,778.2779968437037,Colorado,CO,12.3,5.0,305690.9,8.0,0.0944223295971421,0.195784341267576,1
CO,2015,Both Sexes,All Ages,All Ages,All Races,15.368,1.213995616368085,16.304,16.2923,869,5456574,13844.97881371982,42739.62291187777,383.8306601710524,Colorado,CO,9.9,3.9,317992.4,8.23,0.0908398452800716,0.2277600193592548,1
CO,2016,Both Sexes,All Ages,All Ages,All Races,16.5808,1.2450386334044492,19.6925,19.7851,942,5540545,11397.978021747356,38688.92998360348,296.9614666110103,Colorado,CO,8.5,3.3,327757.3,8.31,0.0858767894006641,0.2402826032208534,1
CT,2000,Both Sexes,All Ages,All Ages,All Races,9.2232,1.009586857130916,6.1882,6.1749,320,3405565,2910.243087417213,9947.338547348238,81.62346042433487,Connecticut,CT,7.7,2.4,165822.4,6.15,0.0483791877370648,0.1037157469553256,0
CT,2001,Both Sexes,All Ages,All Ages,All Races,8.7869,0.990645150833408,6.8057,6.7922,307,3432835,2677.848483833333,12050.693086035302,80.97505414620859,Connecticut,CT,7.3,3.1,172834.5,6.4,0.0457438239822187,0.1076990301019419,0
CT,2002,Both Sexes,All Ages,All Ages,All Races,10.2713,1.0519740092374577,8.1766,8.1957,354,3458749,2992.4131528480384,13264.035493758003,104.17784002250525,Connecticut,CT,8.3,4.3,176191.6,6.7,0.0487433462214228,0.1178304641360214,0
CT,2003,Both Sexes,All Ages,All Ages,All Races,8.759,0.989405318001516,8.8881,8.8765,307,3484336,3302.6091628361905,14460.688636227964,127.04744892570636,Connecticut,CT,8.1,5.4,181230.3,6.9,0.0518067143926418,0.1233356943762025,0
CT,2004,Both Sexes,All Ages,All Ages,All Races,9.6133,1.0258504403536202,9.366,9.3831,333,3496094,3622.5553431915732,15701.75930624291,150.17530993159792,Connecticut,CT,10.0,5.0,198282.4,7.1,0.0560568451534769,0.1253012647829263,0
CT,2005,Both Sexes,All Ages,All Ages,All Races,8.4563,0.975721241696852,10.0884,10.0699,295,3506956,3941.363393210522,16938.836700546002,173.19236397605215,Connecticut,CT,9.3,4.9,208660.9,7.1,0.0582117369023164,0.1278524737692745,0
